Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station ID
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-01,2022,1,1,,5.3,,-1.8,,1.8,,16.2,,0.0,,,,,,1.6,,,,5.0,,46.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-02,2022,1,2,,-1.8,,-10.3,,-6.1,,24.1,,0.0,,,,,,0.2,,,,32.0,,59.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-03,2022,1,3,,-3.3,,-12.3,,-7.8,,25.8,,0.0,,,,,,0.0,,,,22.0,,46.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-04,2022,1,4,,3.3,,-4.9,,-0.8,,18.8,,0.0,,,,,,0.0,,,,23.0,,42.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-05,2022,1,5,,4.8,,-4.2,,0.3,,17.7,,0.0,,,,,,0.0,,,,24.0,,68.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-06,2022,1,6,,-0.9,,-6.1,,-3.5,,21.5,,0.0,,,,,,0.0,,,,25.0,,63.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-07,2022,1,7,,-4.4,,-11.3,,-7.9,,25.9,,0.0,,,,,,0.0,,,,27.0,,54.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-08,2022,1,8,,2.1,,-12.7,,-5.3,,23.3,,0.0,,,,,,0.2,,,,21.0,,54.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-09,2022,1,9,,4.3,,-6.5,,-1.1,,19.1,,0.0,,,,,,0.0,,,,31.0,,72.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-10,2022,1,10,,-5.7,,-17.1,,-11.4,,29.4,,0.0,,,,,,0.0,,,,26.0,,63.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-11,2022,1,11,,-0.9,,-19.2,,-10.1,,28.1,,0.0,,,,,,0.0,,,,22.0,,63.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-12,2022,1,12,,2.3,,-1.0,,0.7,,17.3,,0.0,,,,,,0.0,,,,21.0,,61.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-13,2022,1,13,,1.3,,-0.8,,0.3,,17.7,,0.0,,,,,,0.0,,,,,M,,M,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-14,2022,1,14,,-0.1,,-17.7,,-8.9,,26.9,,0.0,,,,,,0.0,,,,4.0,,54.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-15,2022,1,15,,-11.4,,-20.0,,-15.7,,33.7,,0.0,,,,,,0.0,,,,3.0,,45.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-16,2022,1,16,,0.4,,-11.8,,-5.7,,23.7,,0.0,,,,,,2.5,,,,7.0,,42.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-17,2022,1,17,,-1.7,,-4.5,,-3.1,,21.1,,0.0,,,,,,15.1,,,,32.0,,67.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-18,2022,1,18,,0.6,,-9.4,,-4.4,,22.4,,0.0,,,,,,0.2,,,,21.0,,46.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-19,2022,1,19,,4.5,,-7.2,,-1.4,,19.4,,0.0,,,,,,0.0,,,,21.0,,59.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-20,2022,1,20,,-7.2,,-16.0,,-11.6,,29.6,,0.0,,,,,,0.0,,,,31.0,,54.0,,48549
-79.4,43.63,Toronto_City_Centre_Downtown,6158359,2022-01-21,2022,1,21,,-8.4,,-17.7,,-13.1,,31.1,,0.0,,,,,,0.0,,,,5.0,,39.0,,48549
