,RMSE,MAE,R²,MAPE
Random Forest,1.7257342563449753,1.2618759269950672,0.5952409283052487,104.53220679414737
XGBoost,1.8161131413924523,1.3170127110815846,0.5517352868945387,98.26103450433598
GAM,1.8686156067084556,1.3771739054604288,0.5254426604919994,87.12885942091071
Stacking Ensemble,2.6849841660506817,2.432217713208531,0.020211790689995457,224.1510393136911
