,RMSE,MAE,R²,MAPE
XGBoost,1.3061191901055773,0.9608269039458287,0.7625883701250569,73.77969614205634
Random Forest,1.3549475878627377,1.0247003768282799,0.744505614399808,85.48773689603935
GAM,1.6636445790673864,1.2867500082909602,0.6148255534051298,74.5204000569008
Stacking Ensemble,1.9860981988758495,1.7195236473014368,0.45104366157263587,158.9274619500369
